ReviewNo,JJP,RBP,JJN,RBN,Polarity,New_sentiment,WordCount,Sentiment
212,2,0,4,0,0.221155303,pos,75,Positive
213,0,2,2,0,0.115833333,pos,42,Neutral
214,1,1,1,0,-0.275,neg,86,Negative
215,8,0,5,0,1.09636544,pos,175,Positive
216,3,0,0,0,1.432876984,pos,144,Positive
217,1,0,3,2,-0.328412698,neg,61,Negative
218,15,4,6,0,1.362273355,pos,245,Positive
219,2,1,2,0,0.4,pos,87,Positive
220,0,2,0,0,1.441666667,pos,60,Positive
221,3,0,10,0,1.965,pos,141,Positive
222,11,4,1,0,5.726960317,pos,167,Positive
223,1,2,3,2,-1.703897306,neg,142,Negative
224,9,0,1,2,1.210456349,pos,152,Positive
225,4,2,2,0,0.951364087,pos,136,Positive
226,4,0,7,0,0.808636364,pos,173,Positive
227,8,3,3,2,2.436912879,pos,101,Positive
228,11,3,7,1,2.965887446,pos,369,Positive
229,2,0,0,0,0.446666667,pos,77,Positive
230,0,0,3,0,-0.081818182,neg,37,Neutral
231,1,0,0,0,0.414285714,pos,29,Positive
232,6,1,2,0,4.711465201,pos,71,Positive
233,2,0,1,0,1.190625,pos,52,Positive
234,5,0,2,2,1.059722222,pos,83,Positive
235,3,2,0,0,0.738690476,pos,79,Positive
236,3,1,0,0,2.269047619,pos,39,Positive
237,1,2,3,0,-1.83125,neg,83,Negative
238,4,3,3,0,0.529166667,pos,162,Positive
239,2,0,5,1,-0.001851852,neg,96,Neutral
240,4,1,3,0,0.508333333,pos,74,Positive
241,3,1,0,0,2.323809524,pos,77,Positive
242,1,0,3,1,-1.847222222,neg,74,Negative
243,3,1,0,0,1.8,pos,86,Positive
244,1,0,1,0,-0.435416667,neg,93,Negative
245,3,0,0,0,1.16875,pos,25,Positive
246,1,1,3,0,0.144047619,pos,111,Neutral
247,1,1,7,0,-0.714204545,neg,84,Negative
248,6,4,1,0,2.664880952,pos,88,Positive
249,1,0,2,0,0.485367565,pos,66,Positive
250,1,0,5,0,-0.048148148,neg,78,Neutral
251,1,0,3,3,0.576893939,pos,111,Positive
252,5,3,6,1,2.874281746,pos,181,Positive
253,2,3,7,0,0.12035205,pos,197,Neutral
254,7,5,11,3,1.59873557,pos,251,Positive
255,8,2,5,0,2.120039683,pos,211,Positive
256,4,1,4,0,-0.631547619,neg,55,Negative
257,3,2,6,1,0.226443001,pos,227,Positive
258,10,4,8,5,2.368839586,pos,273,Positive
259,1,1,0,0,0.307007576,pos,123,Positive
260,6,2,5,0,1.983154762,pos,246,Positive
261,2,1,2,0,-0.611161616,neg,76,Negative
262,0,2,9,3,-3.036666667,neg,149,Negative
